Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2018.0,"Valid, but unknown",USA,California,"Oceanside, San Diego County",paddling,F,57.0,N
2018.0,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",standing,F,11.0,N
2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,surfing,M,,N
2018.0,Provoked,MEXICO,Colima,La Ticla,diving,M,,N
2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",surfing,M,,N
2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",swimming,M,18.0,Y
2018.0,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",fishing,M,52.0,N
2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",other,M,15.0,N
2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",standing,M,12.0,N
2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,other,M,32.0,N
2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",surfing,M,10.0,N
2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,M,10.0,N
2018.0,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,other,F,34.0,N
2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",surfing,M,,N
2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,swimming,M,,N
2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,M,30.0,N
2018.0,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,surfing,M,,N
2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",surfing,M,60.0,N
2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,M,,N
2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,fishing,M,32.0,N
